applicant_id,gender,race,age,education,experience_years,skill_score,interview_score,hired
95,Female,White,27,High School,13,75,88,1
96,Male,White,57,Master,11,79,41,0
97,Male,Hispanic,38,Bachelor,12,58,49,1
98,Male,White,26,High School,13,75,88,1
99,Male,White,51,Bachelor,9,90,65,1
100,Male,White,55,High School,7,55,39,1
101,Male,White,34,Master,4,76,38,1
102,Female,Black,29,Bachelor,6,57,48,1
103,Male,Black,33,Bachelor,5,85,65,1
104,Male,White,42,Bachelor,11,85,74,1
105,Female,White,47,Bachelor,9,64,58,0
106,Male,White,40,Bachelor,11,100,72,1
107,Male,White,36,Master,2,86,56,1
108,Female,White,49,High School,15,80,89,0
109,Male,Hispanic,31,High School,5,79,100,0
110,Male,Asian,45,Bachelor,2,84,57,0
111,Male,Asian,32,Bachelor,5,55,74,1
112,Male,Hispanic,39,Bachelor,20,72,72,1
113,Female,Black,33,Bachelor,6,75,67,0
114,Female,Black,34,Master,6,63,78,0
115,Female,White,31,High School,7,76,74,0
116,Female,Black,48,Bachelor,7,88,55,0
117,Female,White,27,Bachelor,4,63,91,0
118,Male,White,27,Bachelor,8,69,69,1
119,Female,Hispanic,56,PhD,13,57,57,0
120,Male,White,44,Bachelor,9,43,100,0
121,Female,White,21,PhD,2,81,62,0
122,Female,Asian,29,Bachelor,6,69,70,0
123,Male,White,21,High School,5,70,68,1
124,Male,White,25,High School,8,55,62,0
125,Male,Asian,21,Bachelor,14,67,73,1
126,Male,Black,33,Bachelor,7,86,48,0
127,Female,White,23,High School,7,70,76,0
128,Female,White,35,Bachelor,16,70,29,0
129,Male,White,21,Bachelor,12,73,39,0
130,Male,Hispanic,35,High School,10,51,100,0
131,Male,Black,30,Bachelor,17,79,39,1
132,Male,White,50,Master,10,51,25,1
133,Male,White,49,Bachelor,0,55,40,0
134,Male,White,42,Master,12,54,99,1
135,Female,Asian,31,Bachelor,0,67,29,1
136,Male,White,54,Bachelor,10,64,45,0
137,Male,Black,21,Bachelor,0,69,35,1
138,Female,White,21,Bachelor,5,56,59,1
139,Male,Black,34,Bachelor,6,85,56,0
140,Female,Asian,57,Bachelor,4,82,55,0
141,Female,Black,32,Bachelor,6,67,100,0
142,Male,White,33,High School,13,62,41,0
143,Male,Black,21,Master,4,61,62,0
144,Male,Hispanic,44,Bachelor,10,65,71,1
145,Male,White,44,Bachelor,3,48,45,0
146,Male,Hispanic,42,Bachelor,7,55,74,1
147,Male,Black,28,Master,9,82,57,1
148,Male,Hispanic,27,Bachelor,3,74,72,1
149,Male,Black,22,Bachelor,1,94,62,0
150,Male,White,35,PhD,10,65,23,1
151,Female,White,24,Master,13,64,91,1
152,Male,White,23,High School,7,63,100,1
153,Male,Asian,30,High School,5,65,61,0
154,Male,Hispanic,30,Master,8,60,47,1
155,Female,Black,29,Master,8,74,95,0
156,Male,White,39,Bachelor,9,70,100,1
157,Female,White,35,Bachelor,0,62,61,1
158,Female,Hispanic,32,Bachelor,2,88,60,0
159,Male,White,36,Bachelor,3,98,63,1
160,Female,White,25,Master,8,87,31,0
161,Male,Black,36,High School,8,78,59,0
162,Female,White,36,PhD,11,81,99,1
163,Female,White,21,Master,9,97,61,0
164,Male,White,44,Bachelor,1,81,44,0
165,Male,White,26,Bachelor,15,61,74,1
166,Female,Asian,35,High School,14,75,51,0
167,Male,White,46,Bachelor,1,79,63,1
168,Male,White,44,Master,9,55,39,1
169,Male,White,35,Bachelor,5,65,44,1
170,Male,Hispanic,31,Bachelor,8,86,79,0
171,Female,White,44,Bachelor,13,42,67,0
172,Male,Black,41,Master,18,51,49,1
173,Male,White,28,High School,11,67,67,1
174,Male,White,27,Bachelor,9,75,52,1
175,Female,White,21,Master,6,49,49,1
176,Male,Hispanic,36,Bachelor,8,68,88,1
177,Female,Hispanic,34,Master,14,87,80,1
178,Male,White,46,Bachelor,7,71,64,1
179,Female,White,38,PhD,3,84,67,1
180,Male,Asian,48,High School,0,61,64,1
181,Male,White,28,Bachelor,10,57,74,1
182,Male,Hispanic,46,High School,9,82,49,1
183,Female,White,29,High School,4,75,82,1
184,Female,Asian,42,Bachelor,13,52,72,1
185,Male,Hispanic,21,High School,5,57,59,0
186,Female,Asian,37,PhD,7,93,55,1
187,Female,Black,21,PhD,7,56,81,1
188,Male,White,32,Bachelor,6,84,61,0
189,Male,Asian,39,Bachelor,9,62,51,1
190,Male,White,29,Bachelor,13,69,57,1
191,Male,White,24,Master,2,74,80,1
192,Female,Black,43,Bachelor,10,38,32,0
193,Female,Hispanic,33,High School,8,48,57,0
194,Female,Asian,30,Master,8,71,86,1
195,Male,White,35,Master,12,59,61,1
196,Male,Hispanic,61,Bachelor,8,84,70,1
197,Female,Hispanic,46,PhD,10,45,86,1
198,Female,White,46,PhD,11,78,82,1
199,Female,White,39,Bachelor,5,49,56,0
200,Female,White,36,Bachelor,9,64,62,1
201,Female,White,21,PhD,6,54,83,1
202,Male,Asian,28,Bachelor,7,98,83,1
203,Male,Black,30,Bachelor,6,49,63,0
204,Female,Black,21,High School,10,68,63,0
205,Male,Asian,23,Master,8,44,70,0
206,Male,White,21,Master,9,93,92,1
207,Male,Hispanic,34,High School,7,76,86,1
208,Female,White,43,PhD,0,72,78,0
209,Male,Hispanic,46,Master,8,92,43,1
210,Male,White,39,Master,8,72,59,1
211,Male,Asian,25,High School,9,73,60,1
212,Female,White,21,Bachelor,5,71,93,1
213,Female,White,21,Master,2,78,60,0
214,Male,Hispanic,22,Bachelor,11,62,90,1
215,Female,White,26,Master,6,66,53,1
216,Male,Black,33,Master,8,82,55,1
217,Male,White,24,Bachelor,6,74,74,1
218,Female,Hispanic,38,Master,7,68,96,1
219,Female,White,32,High School,5,48,60,0
220,Female,White,35,Bachelor,3,92,13,1
221,Female,White,46,High School,10,60,33,0
222,Male,White,23,Bachelor,4,84,70,0
223,Male,White,39,Bachelor,8,72,35,1
224,Male,White,34,Master,10,50,47,1
225,Male,White,31,Master,5,88,65,1
226,Male,White,43,Bachelor,1,73,16,1
227,Female,Black,43,Master,20,90,57,0
228,Male,Hispanic,25,High School,5,67,41,1
229,Female,White,33,High School,11,80,35,1
230,Female,Black,37,Bachelor,17,43,48,1
231,Female,Black,32,Bachelor,11,62,43,0
232,Male,White,40,Master,6,50,74,1
233,Male,Black,37,Bachelor,7,64,88,0
234,Male,White,53,Master,3,77,57,1
235,Male,White,21,Master,12,60,53,1
236,Female,White,33,PhD,10,82,56,1
237,Male,Black,25,Bachelor,5,57,42,1
238,Male,Black,41,Bachelor,2,83,39,0
239,Female,White,21,Bachelor,1,89,32,0
240,Male,White,38,PhD,12,85,38,1
241,Female,Asian,28,Bachelor,8,64,97,1
242,Female,White,27,Bachelor,9,38,51,1
243,Female,White,21,Bachelor,3,78,10,1
244,Male,Asian,30,Bachelor,0,68,53,1
245,Male,Black,45,Bachelor,12,55,33,0
246,Female,Black,34,High School,8,61,66,0
247,Male,Hispanic,41,Bachelor,12,91,64,1
248,Female,Hispanic,51,Bachelor,6,52,66,0
249,Female,White,37,High School,6,77,64,1
250,Female,White,29,Bachelor,11,73,57,1
251,Male,White,39,High School,11,64,35,1
252,Male,Asian,29,PhD,11,79,63,1
253,Female,Black,29,Bachelor,6,94,85,1
254,Male,White,21,Master,11,65,100,1
255,Male,Hispanic,44,Bachelor,13,66,60,1
256,Male,White,31,PhD,7,79,62,1
257,Female,White,36,Bachelor,5,83,75,1
258,Female,White,24,Bachelor,14,68,94,1
259,Male,White,39,Bachelor,4,65,55,1
260,Male,Hispanic,27,Master,11,36,78,1
261,Male,White,33,Bachelor,7,58,48,1
262,Female,Hispanic,43,Bachelor,0,52,71,0
263,Male,Black,42,High School,13,80,84,1
264,Male,White,34,Bachelor,0,66,39,1
265,Female,Asian,21,Bachelor,0,65,54,1
266,Female,White,64,High School,10,69,84,1
267,Female,White,52,Bachelor,10,56,77,1
268,Female,White,42,Bachelor,4,93,85,1
269,Male,Hispanic,27,Master,8,89,81,1
270,Male,White,33,High School,0,94,58,0
271,Female,White,29,Bachelor,11,80,100,1
272,Female,White,47,Master,9,69,67,0
273,Female,White,37,Bachelor,7,94,10,0
274,Female,Hispanic,27,Bachelor,8,59,59,0
275,Male,White,30,Master,10,56,55,1
276,Male,White,46,Bachelor,7,60,80,1
277,Female,White,51,Bachelor,0,77,55,1
278,Female,White,50,PhD,18,58,86,1
279,Female,Asian,42,PhD,14,67,76,1
280,Female,White,32,Bachelor,1,45,44,1
281,Female,Asian,21,High School,6,77,62,0
282,Male,White,37,Bachelor,6,47,49,1
283,Male,White,34,High School,13,56,68,1
284,Male,Hispanic,36,High School,0,88,49,0
285,Male,White,35,Bachelor,5,87,66,1
286,Male,Black,21,PhD,0,75,59,1
287,Male,Asian,40,Master,6,74,61,1
288,Male,White,41,Bachelor,5,62,100,0
289,Male,White,41,Bachelor,8,58,57,1
290,Male,Black,44,High School,4,64,26,0
291,Male,White,41,Bachelor,4,47,85,1
292,Male,White,30,High School,11,73,85,0
293,Female,White,34,Master,10,70,25,1
294,Male,White,35,High School,10,55,50,0
295,Male,Hispanic,36,Master,7,93,73,0
296,Male,White,44,Bachelor,5,79,75,1
297,Female,White,41,Bachelor,7,80,64,1
298,Male,Black,55,High School,10,62,65,1
299,Female,White,57,Bachelor,0,69,46,0
300,Male,White,35,PhD,9,79,17,1
301,Male,Hispanic,21,Master,9,72,100,1
302,Male,White,47,Bachelor,8,94,45,0
303,Male,Hispanic,29,Bachelor,7,66,68,0
304,Female,Hispanic,26,Bachelor,0,62,61,0
305,Female,White,31,PhD,5,79,82,1
306,Female,White,30,Master,16,51,67,1
307,Male,White,41,Bachelor,8,83,68,1
308,Male,White,21,Bachelor,6,50,12,1
309,Female,Hispanic,24,Bachelor,8,79,48,0
310,Male,Hispanic,38,Bachelor,9,60,79,0
311,Male,White,41,High School,11,77,78,1
312,Male,Black,41,Bachelor,6,83,45,0
313,Male,Asian,27,PhD,10,72,33,1
314,Female,Asian,25,Bachelor,16,52,67,0
315,Female,White,29,High School,13,56,10,0
316,Female,White,37,Master,19,59,42,1
317,Male,White,49,Bachelor,4,41,100,0
318,Male,Asian,21,Bachelor,16,86,93,0
319,Male,White,32,Bachelor,4,71,74,1
320,Male,Black,21,Bachelor,9,52,71,0
321,Male,White,21,Bachelor,11,91,25,1
322,Female,White,44,Bachelor,5,59,50,0
323,Female,White,40,Master,8,73,59,1
324,Male,Asian,39,Bachelor,12,57,50,1
325,Female,White,44,Master,4,39,57,0
326,Female,Black,30,High School,16,49,90,1
327,Male,White,30,Master,1,63,54,1
328,Male,White,56,Master,17,83,58,1
329,Male,White,32,Master,13,75,79,1
330,Male,White,42,Bachelor,7,72,36,1
331,Male,White,35,Master,5,39,48,1
332,Female,White,21,High School,5,89,50,0
333,Male,White,21,Master,7,73,66,1
334,Male,White,29,High School,7,68,58,0
335,Male,Asian,45,High School,14,86,58,1
336,Male,Asian,42,Bachelor,17,88,51,1
337,Female,White,44,Master,8,87,43,1
338,Female,Black,25,High School,3,66,77,0
339,Male,Asian,51,PhD,5,54,58,1
340,Male,White,25,PhD,7,84,77,1
341,Male,Hispanic,37,Bachelor,2,49,42,1
342,Male,Asian,34,Bachelor,2,99,51,0
343,Male,White,33,Master,18,70,60,1
344,Male,White,48,Bachelor,9,54,62,1
345,Male,Asian,27,Bachelor,3,51,80,0
346,Male,White,21,PhD,12,50,56,1
347,Female,White,35,PhD,2,72,79,0
348,Male,White,31,PhD,2,69,72,1
349,Male,White,65,Bachelor,3,51,62,1
350,Female,Black,41,Bachelor,16,64,45,0
351,Male,Hispanic,30,Bachelor,6,49,80,1
352,Female,Asian,24,Bachelor,0,78,46,0
353,Female,White,21,Bachelor,14,69,64,1
354,Male,White,24,Bachelor,6,64,63,0
355,Male,White,36,Bachelor,0,50,60,1
356,Female,White,49,Master,6,65,57,1
357,Male,White,46,Master,10,63,48,1
358,Male,Asian,37,Master,10,74,32,1
359,Female,Hispanic,31,High School,16,72,93,1
360,Male,White,37,High School,3,81,55,1
361,Male,Black,29,Master,8,62,62,1
362,Female,White,52,Bachelor,4,42,62,1
363,Male,White,33,Bachelor,0,84,86,1
364,Male,Black,34,High School,12,55,100,1
365,Female,White,21,Bachelor,10,53,68,1
366,Male,Asian,33,Bachelor,9,69,61,1
367,Female,Black,43,Master,10,74,42,0
368,Female,White,24,PhD,4,62,36,1
369,Male,Hispanic,27,Bachelor,2,61,29,0
370,Male,White,42,Bachelor,8,64,49,1
371,Male,White,21,Master,13,91,23,1
372,Male,White,45,Bachelor,16,69,86,1
373,Male,White,29,Bachelor,11,55,73,1
374,Female,Hispanic,31,PhD,8,55,59,1
375,Male,White,23,Master,9,66,87,1
376,Male,Hispanic,38,PhD,8,73,43,1
377,Female,Black,59,Bachelor,2,77,48,0
378,Male,White,42,Bachelor,8,71,26,1
379,Female,Hispanic,26,Master,1,57,80,0
380,Male,White,46,High School,7,63,48,0
381,Male,White,31,Master,16,81,65,1
382,Female,White,48,High School,12,52,85,1
383,Female,White,43,Master,3,63,92,1
384,Female,White,21,Bachelor,7,78,64,1
385,Female,Black,24,High School,3,83,72,1
386,Female,White,44,Bachelor,7,67,46,1
387,Male,White,36,Master,13,63,98,1
388,Male,Asian,24,Bachelor,11,50,61,1
389,Female,Black,28,Bachelor,20,77,66,1
390,Female,Hispanic,21,Master,13,89,56,0
391,Female,White,34,Bachelor,9,100,88,0
392,Male,Black,57,Bachelor,11,75,68,1
393,Male,Hispanic,43,High School,6,69,80,1
394,Female,Black,56,PhD,2,56,72,0
395,Male,Black,43,High School,14,41,60,1
396,Female,White,45,Bachelor,13,72,83,1
397,Female,White,54,Master,6,100,71,1
398,Male,White,38,Bachelor,9,89,45,1
399,Female,White,33,Bachelor,14,86,45,0
400,Female,Hispanic,45,Bachelor,12,73,67,0
401,Male,White,49,Master,0,75,83,0
402,Female,Asian,30,Bachelor,9,33,97,1
403,Male,Asian,27,Master,7,81,29,0
404,Female,White,36,Master,13,61,65,1
405,Male,White,43,Bachelor,13,59,74,1
406,Female,Hispanic,42,Master,14,65,70,0
407,Male,Asian,21,Bachelor,2,64,85,0
408,Male,White,54,Bachelor,4,59,78,0
409,Female,White,28,Bachelor,13,70,45,1
410,Male,White,32,PhD,5,61,44,1
411,Male,Black,25,Bachelor,0,71,71,0
412,Female,White,61,Bachelor,10,47,84,0
413,Female,Hispanic,37,Bachelor,5,66,67,0
414,Male,White,26,Bachelor,16,53,33,1
415,Female,White,43,High School,9,60,44,1
416,Male,White,42,Bachelor,8,72,78,1
417,Male,White,33,Bachelor,6,45,58,0
418,Male,White,43,Bachelor,15,57,67,1
419,Female,White,26,Bachelor,9,78,86,1
420,Female,White,30,Bachelor,5,48,40,0
421,Female,White,21,Master,4,96,56,1
422,Female,White,21,PhD,7,88,54,0
423,Male,Asian,53,Bachelor,3,62,72,0
424,Male,White,51,High School,13,58,80,1
425,Male,White,35,PhD,0,73,35,1
426,Male,Black,51,Master,7,48,64,0
427,Male,Asian,33,Bachelor,11,39,82,1
428,Female,White,32,High School,9,63,27,0
429,Male,Black,35,High School,4,67,63,0
430,Male,Black,33,High School,11,71,40,1
431,Male,Black,32,High School,3,60,52,0
432,Female,White,46,PhD,7,89,14,1
433,Male,Black,36,Bachelor,11,47,92,1
434,Male,White,42,Master,10,52,57,1
435,Male,Black,45,Master,4,77,48,1
436,Female,Hispanic,38,Master,13,52,71,1
437,Male,White,25,Master,8,51,44,1
438,Female,Hispanic,21,PhD,11,71,42,1
439,Female,White,36,Bachelor,15,54,95,0
440,Male,Hispanic,33,PhD,13,68,100,1
441,Male,White,35,Master,13,59,53,1
442,Female,White,34,High School,8,57,86,0
443,Male,White,60,Master,11,38,72,1
444,Male,Asian,21,Master,9,72,36,1
445,Female,White,21,PhD,1,51,46,1
446,Female,White,38,Bachelor,9,67,96,1
447,Female,White,31,Bachelor,9,62,36,1
448,Female,Black,38,High School,10,66,100,1
449,Male,White,40,Bachelor,7,67,53,1
450,Male,White,47,High School,4,72,96,0
451,Female,White,21,Bachelor,11,59,58,0
452,Male,White,29,Master,1,88,80,1
453,Male,White,39,Bachelor,15,42,92,0
454,Female,White,42,Bachelor,6,66,92,1
455,Male,Black,56,Bachelor,9,82,53,1
456,Male,White,44,High School,10,77,47,0
457,Male,White,34,Bachelor,10,55,63,1
458,Male,White,26,High School,0,57,38,1
459,Male,Asian,29,Bachelor,12,54,69,1
460,Male,Asian,29,High School,9,78,48,1
461,Male,Hispanic,41,High School,4,58,86,1
462,Female,White,37,Bachelor,4,73,53,0
463,Female,White,21,Bachelor,6,73,30,0
464,Male,White,30,High School,1,100,93,1
465,Female,White,43,Bachelor,16,74,68,1
466,Male,White,38,Master,15,57,65,1
467,Male,Hispanic,40,Master,10,48,86,1
468,Female,Hispanic,38,High School,6,65,82,0
469,Male,Hispanic,51,Bachelor,7,68,49,0
470,Female,White,37,Master,11,36,56,1
471,Male,Black,31,High School,16,59,42,1
472,Female,White,25,Master,5,74,35,1
473,Male,White,37,PhD,2,62,76,1
474,Female,Black,21,Master,15,84,72,1
475,Male,White,33,Master,0,46,80,1
476,Female,White,32,Master,2,80,90,1
477,Male,White,21,Bachelor,6,83,80,0
478,Male,Black,25,Master,0,84,82,1
479,Female,Hispanic,43,Master,13,46,23,1
480,Male,White,37,Master,12,74,58,1
481,Female,Hispanic,36,Bachelor,5,59,84,0
482,Female,White,38,Bachelor,14,48,41,1
483,Male,White,35,Master,15,63,66,1
484,Female,Black,47,High School,7,56,75,0
485,Male,Black,36,Master,5,83,73,1
486,Female,Asian,21,PhD,19,77,72,1
487,Male,White,51,Master,11,52,76,0
488,Male,Black,38,PhD,9,59,68,1
489,Female,Black,29,Master,14,64,35,1
490,Female,Asian,22,High School,9,68,75,1
491,Male,White,38,Master,5,85,70,1
492,Female,Hispanic,33,Bachelor,8,80,36,0
493,Male,Black,50,Bachelor,13,70,92,0
494,Male,White,31,Bachelor,0,66,75,1
495,Male,White,26,Bachelor,6,43,37,1
496,Male,White,43,Bachelor,14,89,48,1
497,Male,Black,44,Bachelor,5,63,53,0
498,Male,Hispanic,36,Bachelor,15,93,53,1
499,Female,Black,41,Master,15,72,70,1
500,Female,Black,34,Bachelor,7,100,45,0
501,Female,White,37,Bachelor,5,79,87,0
502,Male,White,46,Master,6,48,85,1
503,Male,White,41,Master,21,60,77,1
504,Female,White,33,PhD,17,67,65,1
505,Female,White,48,High School,8,56,83,1
506,Male,White,21,Master,4,64,59,1
507,Female,White,55,Bachelor,8,49,50,1
508,Female,White,21,Bachelor,9,70,88,1
509,Female,White,28,High School,1,73,71,1
510,Female,White,34,Bachelor,8,54,51,0
511,Male,White,33,Bachelor,14,99,56,1
512,Male,Asian,45,Bachelor,0,70,50,0
513,Female,Hispanic,24,Bachelor,12,57,100,1
514,Female,Black,37,Master,14,45,65,1
515,Male,White,29,Master,5,70,68,1
516,Male,Hispanic,37,Bachelor,16,66,79,1
517,Male,Hispanic,34,Bachelor,4,81,40,0
518,Female,Hispanic,35,Bachelor,10,67,86,1
519,Female,White,29,PhD,6,52,52,0
520,Male,Black,29,Bachelor,6,95,100,1
521,Male,Hispanic,37,Bachelor,4,76,58,1
522,Male,Black,44,Bachelor,11,66,85,0
523,Female,Black,29,Bachelor,12,72,15,0
524,Female,White,26,Bachelor,7,77,41,1
525,Female,White,41,High School,1,48,59,0
526,Male,White,34,Master,10,72,24,1
527,Male,Black,43,Master,10,63,77,1
528,Male,White,25,Master,6,77,71,1
529,Male,White,21,High School,17,58,45,1
530,Female,White,29,Bachelor,0,60,64,1
531,Female,White,27,PhD,0,94,81,1
532,Female,White,34,Master,4,88,22,0
533,Female,Black,28,Bachelor,11,20,39,0
534,Male,Hispanic,42,High School,2,87,58,1
535,Female,White,32,Bachelor,3,68,65,1
536,Female,White,36,Bachelor,12,59,63,0
537,Female,White,36,Master,10,54,82,1
538,Male,Hispanic,36,PhD,9,55,74,1
539,Male,White,34,Bachelor,11,59,78,1
540,Male,White,40,High School,5,53,37,0
541,Female,White,27,Master,6,49,67,0
542,Male,Black,48,High School,12,54,58,0
543,Male,Hispanic,32,PhD,1,74,94,0
544,Female,Hispanic,21,Master,0,70,68,0
545,Male,Black,36,PhD,5,78,51,1
546,Male,White,26,High School,12,69,82,1
547,Male,White,41,High School,9,50,76,1
548,Female,White,57,Bachelor,12,77,48,1
549,Male,White,27,Bachelor,0,54,58,1
550,Female,White,38,Bachelor,9,79,58,1
551,Male,White,21,PhD,11,52,89,1
552,Female,White,39,Master,1,59,69,1
553,Male,Asian,26,Master,12,64,79,1
554,Male,Black,28,High School,7,80,55,0
555,Female,Hispanic,23,Master,23,72,71,0
556,Male,Black,42,Master,0,70,91,0
557,Male,White,45,Bachelor,14,98,57,1
558,Male,Hispanic,35,PhD,6,42,67,1
559,Female,White,26,High School,0,54,37,1
560,Female,Black,50,Bachelor,5,53,49,0
561,Female,White,27,High School,9,43,58,0
562,Male,Asian,21,Master,13,59,43,1
563,Male,White,39,Bachelor,16,80,91,1
564,Male,White,23,Bachelor,15,61,48,1
565,Male,Asian,44,High School,3,65,80,1
566,Male,White,31,High School,13,44,68,1
567,Male,Black,41,High School,9,58,65,0
568,Male,Black,49,Bachelor,4,63,94,1
569,Female,Hispanic,22,Bachelor,6,79,19,0
570,Male,Asian,29,Bachelor,4,44,61,0
571,Male,Asian,34,Master,8,63,43,1
572,Female,White,50,Bachelor,4,86,25,1
573,Male,Hispanic,28,Master,2,63,41,0
574,Female,Black,29,High School,10,38,65,0
575,Female,Black,39,Bachelor,11,89,50,1
576,Female,White,29,Bachelor,7,81,82,1
577,Male,Black,36,High School,14,83,60,0
578,Female,Asian,21,High School,6,43,58,0
579,Male,Asian,57,Master,6,92,58,1
580,Male,White,21,PhD,11,58,63,0
581,Male,White,31,High School,7,62,56,0
582,Female,White,34,Bachelor,8,59,47,1
583,Male,Hispanic,54,PhD,0,84,84,0
584,Male,Black,21,High School,8,67,52,0
585,Female,White,54,Bachelor,0,77,57,1
586,Male,White,42,PhD,1,71,73,1
587,Male,White,39,PhD,1,68,71,1
588,Male,White,25,Bachelor,2,55,47,1
589,Male,Asian,40,High School,5,97,80,1
590,Male,Black,27,Bachelor,5,48,75,0
591,Male,White,47,Master,11,76,68,1
592,Female,White,25,PhD,9,75,56,1
593,Male,White,33,Bachelor,0,87,56,1
594,Male,Asian,29,Master,8,90,60,1
595,Female,White,25,Master,9,67,40,0
596,Male,White,42,Master,6,77,64,0
597,Female,White,40,Master,7,96,82,1
598,Male,Black,47,Master,8,69,82,1
599,Male,Black,21,Bachelor,11,54,57,0
600,Male,Black,45,Bachelor,0,64,86,1
601,Male,White,60,Master,6,50,100,1
602,Male,White,30,Bachelor,15,75,58,1
603,Male,White,53,Bachelor,15,85,78,1
604,Male,Black,32,Master,12,68,19,1
605,Male,White,21,Master,10,45,39,1
606,Male,Black,31,PhD,16,85,66,1
607,Male,Hispanic,45,High School,17,43,44,0
608,Male,Hispanic,26,Bachelor,7,46,100,1
609,Male,White,28,Bachelor,3,67,76,1
610,Female,White,40,PhD,6,73,84,1
611,Male,White,35,High School,23,76,64,1
612,Female,Black,40,Master,0,69,44,0
613,Female,Hispanic,37,Master,5,96,54,0
614,Male,White,39,Bachelor,0,70,70,1
615,Female,White,30,PhD,8,85,52,1
616,Female,Hispanic,37,Master,1,81,78,1
617,Male,Hispanic,25,Bachelor,7,50,79,1
618,Male,White,47,High School,0,67,65,0
619,Female,Black,28,Bachelor,11,100,28,0
620,Female,White,46,Bachelor,14,62,99,1
